Date,Open,High,Low,Close,Adj Close,Volume
2015-01-21,0.017480,0.017500,0.015230,0.015230,0.015230,0
2015-01-22,0.015230,0.017500,0.015230,0.016020,0.016020,0
2015-01-23,0.016020,0.017000,0.016000,0.016000,0.016000,0
2015-01-24,0.016000,0.017390,0.015000,0.017390,0.017390,0
2015-01-25,0.017390,0.017390,0.015600,0.017000,0.017000,0
2015-01-26,0.017000,0.017500,0.014690,0.014690,0.014690,0
2015-01-27,0.014690,0.017000,0.014690,0.015500,0.015500,0
2015-01-28,0.015500,0.016700,0.013100,0.015000,0.015000,0
2015-01-29,0.015000,0.015000,0.013100,0.013500,0.013500,0
2015-01-30,0.013500,0.015000,0.013500,0.015000,0.015000,16
2015-01-31,0.015000,0.015000,0.013500,0.014990,0.014990,17
2015-02-01,0.014990,0.014990,0.013510,0.013520,0.013520,1
2015-02-02,0.015000,0.015000,0.013270,0.013270,0.013270,0
2015-02-03,0.013270,0.015000,0.013270,0.014800,0.014800,0
2015-02-04,0.014800,0.014800,0.014000,0.014000,0.014000,0
2015-02-05,0.014000,0.015730,0.013000,0.015730,0.015730,0
2015-02-06,0.015730,0.016950,0.014000,0.015500,0.015500,5
2015-02-07,0.015500,0.015500,0.014010,0.014680,0.014680,3
2015-02-08,0.014680,0.015060,0.014280,0.014280,0.014280,0
2015-02-09,0.014280,0.014670,0.013500,0.013500,0.013500,0
2015-02-10,0.013500,0.014670,0.011000,0.014640,0.014640,0
2015-02-11,0.014640,0.014640,0.011000,0.014620,0.014620,0
2015-02-12,0.014620,0.014630,0.011010,0.014300,0.014300,0
2015-02-13,0.014300,0.014720,0.012010,0.014450,0.014450,0
2015-02-14,0.014450,0.015080,0.012000,0.012000,0.012000,0
2015-02-15,0.012000,0.012000,0.012000,0.012000,0.012000,0
2015-02-16,0.015090,0.015090,0.012000,0.015080,0.015080,0
2015-02-17,0.015080,0.015080,0.012020,0.013010,0.013010,0
2015-02-18,0.013010,0.014990,0.013010,0.014990,0.014990,0
2015-02-19,0.014990,0.014990,0.013070,0.013070,0.013070,0
2015-02-20,0.013070,0.014980,0.013070,0.013070,0.013070,0
