Time,Open,High,Low,Close,Volume
28122018 0500;"3567.95000000";"3568.26000000";"3556.00000000";"3560.04000000";"633.70893900"
28122018 0600;"3559.43000000";"3575.02000000";"3555.25000000";"3563.00000000";"636.08913400"
28122018 0700;"3563.02000000";"3568.63000000";"3540.04000000";"3558.33000000";"948.51601700"
28122018 0800;"3558.33000000";"3580.29000000";"3555.28000000";"3561.00000000";"1840.65883300"
28122018 0900;"3560.87000000";"3588.23000000";"3552.00000000";"3585.71000000";"1354.18532900"
28122018 1000;"3586.15000000";"3609.37000000";"3570.36000000";"3590.98000000";"1647.86813300"
28122018 1100;"3590.32000000";"3592.31000000";"3576.00000000";"3584.40000000";"1050.47621100"
28122018 1200;"3584.81000000";"3607.07000000";"3580.00000000";"3607.00000000";"1284.96152700"
28122018 1300;"3607.00000000";"3608.28000000";"3568.00000000";"3586.74000000";"1902.80072900"
28122018 1400;"3586.74000000";"3590.94000000";"3570.77000000";"3581.01000000";"1691.22043300"
28122018 1500;"3581.79000000";"3587.94000000";"3575.11000000";"3582.98000000";"1127.05763500"
28122018 1600;"3582.98000000";"3820.00000000";"3581.41000000";"3785.58000000";"7180.78178900"
28122018 1700;"3785.90000000";"3869.00000000";"3783.62000000";"3815.59000000";"6123.03192300"
28122018 1800;"3816.24000000";"3829.80000000";"3778.50000000";"3812.12000000";"3167.49414000"
28122018 1900;"3812.12000000";"3830.00000000";"3790.00000000";"3816.89000000";"1725.94049500"
28122018 2000;"3816.29000000";"3887.25000000";"3798.90000000";"3819.54000000";"3932.89018000"
28122018 2100;"3821.88000000";"3854.86000000";"3808.04000000";"3846.44000000";"1825.53656300"
28122018 2200;"3846.44000000";"3859.00000000";"3825.01000000";"3830.01000000";"1391.40788400"
28122018 2300;"3830.83000000";"3846.47000000";"3817.00000000";"3817.36000000";"1083.39227700"
29122018 0000;"3817.38000000";"3851.54000000";"3805.00000000";"3839.26000000";"1406.83452500"
29122018 0100;"3839.00000000";"3870.00000000";"3833.07000000";"3853.89000000";"1621.60849900"
29122018 0200;"3852.56000000";"3860.57000000";"3834.00000000";"3848.62000000";"1114.93291000"
29122018 0300;"3848.64000000";"3853.17000000";"3815.00000000";"3825.30000000";"1017.73627200"
29122018 0400;"3825.28000000";"3840.00000000";"3817.71000000";"3830.75000000";"698.55480400"
29122018 0500;"3830.73000000";"3845.88000000";"3816.00000000";"3838.10000000";"899.12568400"
29122018 0600;"3837.97000000";"3840.00000000";"3822.91000000";"3823.96000000";"787.02619400"
29122018 0700;"3826.48000000";"3845.88000000";"3819.96000000";"3844.93000000";"902.75954700"
29122018 0800;"3844.95000000";"3867.49000000";"3829.58000000";"3858.26000000";"1291.59961200"
29122018 0900;"3857.21000000";"3857.80000000";"3840.50000000";"3850.90000000";"1540.07273000"
29122018 1000;"3850.90000000";"3892.00000000";"3824.02000000";"3839.27000000";"2663.60354000"
29122018 1100;"3838.36000000";"3839.85000000";"3756.20000000";"3789.04000000";"4027.04830400"
29122018 1200;"3788.07000000";"3816.21000000";"3780.00000000";"3804.60000000";"1735.28414700"
29122018 1300;"3804.82000000";"3826.61000000";"3791.00000000";"3814.58000000";"1257.08382400"
29122018 1400;"3813.95000000";"3838.20000000";"3808.80000000";"3828.49000000";"1064.93756200"
29122018 1500;"3828.49000000";"3838.00000000";"3796.00000000";"3815.08000000";"1134.22787700"
29122018 1600;"3815.40000000";"3835.00000000";"3805.11000000";"3822.10000000";"969.74542400"
29122018 1700;"3822.49000000";"3824.70000000";"3760.00000000";"3789.38000000";"2841.42461100"
29122018 1800;"3789.38000000";"3801.75000000";"3771.00000000";"3795.06000000";"1435.67136200"
29122018 1900;"3796.25000000";"3805.50000000";"3771.37000000";"3791.85000000";"848.20234700"
29122018 2000;"3791.86000000";"3798.17000000";"3778.04000000";"3793.31000000";"669.49721600"
29122018 2100;"3794.49000000";"3830.10000000";"3792.33000000";"3810.13000000";"1227.64159100"
29122018 2200;"3810.06000000";"3876.47000000";"3808.81000000";"3859.59000000";"2568.05658800"
29122018 2300;"3860.36000000";"3868.00000000";"3843.27000000";"3846.82000000";"1431.68718200"
30122018 0000;"3846.05000000";"3884.00000000";"3670.00000000";"3695.32000000";"5126.84607600"
30122018 0100;"3696.71000000";"3721.12000000";"3657.90000000";"3696.30000000";"3650.93089500"
30122018 0200;"3696.68000000";"3719.27000000";"3688.77000000";"3707.30000000";"1583.84720300"
30122018 0300;"3707.30000000";"3724.92000000";"3707.00000000";"3717.77000000";"951.54299200"
30122018 0400;"3718.18000000";"3722.58000000";"3699.31000000";"3711.55000000";"828.66143000"
30122018 0500;"3711.44000000";"3746.00000000";"3708.18000000";"3745.98000000";"801.24390500"
30122018 0600;"3745.98000000";"3747.00000000";"3719.86000000";"3732.45000000";"643.10265400"
30122018 0700;"3732.65000000";"3742.41000000";"3726.29000000";"3734.10000000";"567.16180700"
30122018 0800;"3733.67000000";"3738.00000000";"3713.90000000";"3724.94000000";"740.65325900"
30122018 0900;"3724.93000000";"3787.39000000";"3718.01000000";"3769.21000000";"1400.51308400"
30122018 1000;"3769.17000000";"3825.00000000";"3746.00000000";"3798.69000000";"2566.29793700"
30122018 1100;"3798.92000000";"3805.67000000";"3780.94000000";"3804.75000000";"1347.55584200"
30122018 1200;"3805.67000000";"3810.64000000";"3776.14000000";"3785.93000000";"1379.04172600"
30122018 1300;"3785.92000000";"3903.50000000";"3720.41000000";"3776.77000000";"3880.77082600"
30122018 1400;"3775.35000000";"3794.00000000";"3751.18000000";"3762.95000000";"1415.48320200"
