Date,Open,High,Low,Close,Volume
18052019 1500,"86.87000000","88.18000000","86.02000000","87.82000000","24250.98485000"
18052019 1600,"87.82000000","88.40000000","87.37000000","88.13000000","19820.33167000"
18052019 1700,"88.15000000","88.75000000","87.85000000","87.93000000","12069.05576000"
18052019 1800,"87.93000000","88.65000000","87.20000000","87.88000000","7693.16006000"
18052019 1900,"87.87000000","87.97000000","86.94000000","87.22000000","11337.70896000"
18052019 2000,"87.23000000","87.44000000","86.42000000","87.20000000","10441.45400000"
18052019 2100,"87.19000000","87.50000000","86.80000000","86.95000000","6676.54937000"
18052019 2200,"86.92000000","87.14000000","86.32000000","87.10000000","12843.87115000"
18052019 2300,"87.09000000","88.05000000","86.93000000","87.95000000","5683.86386000"
19052019 0000,"87.95000000","87.95000000","86.95000000","87.17000000","8151.58571000"
19052019 0100,"87.16000000","87.24000000","86.38000000","86.51000000","11450.07599000"
19052019 0200,"86.55000000","86.96000000","86.07000000","86.66000000","12540.94209000"
19052019 0300,"86.69000000","89.70000000","86.66000000","89.52000000","54090.06969000"
19052019 0400,"89.56000000","90.89000000","89.44000000","89.44000000","49364.21964000"
19052019 0500,"89.44000000","92.26000000","89.38000000","91.60000000","47883.55237000"
19052019 0600,"91.55000000","93.00000000","91.31000000","92.47000000","43177.38912000"
19052019 0700,"92.51000000","93.27000000","91.80000000","92.32000000","33944.42015000"
19052019 0800,"92.33000000","92.58000000","91.66000000","91.86000000","14290.47978000"
19052019 0900,"91.85000000","94.10000000","91.64000000","93.57000000","22444.65339000"
19052019 1000,"93.61000000","93.63000000","92.72000000","93.15000000","15440.54292000"
19052019 1100,"93.17000000","94.50000000","92.66000000","94.47000000","20003.07736000"
19052019 1200,"94.47000000","95.05000000","93.50000000","94.16000000","27335.84845000"
19052019 1300,"94.10000000","94.33000000","92.63000000","92.94000000","28260.97084000"
19052019 1400,"92.94000000","93.20000000","91.27000000","92.79000000","36429.43933000"
19052019 1500,"92.80000000","93.14000000","91.78000000","92.03000000","18617.69633000"
19052019 1600,"92.03000000","92.97000000","91.99000000","92.93000000","13573.16434000"
19052019 1700,"92.91000000","93.30000000","92.08000000","93.10000000","8558.86810000"
19052019 1800,"93.09000000","93.75000000","92.00000000","92.80000000","17838.28208000"
19052019 1900,"92.84000000","95.71000000","92.79000000","95.00000000","31467.47153000"
19052019 2000,"95.00000000","95.25000000","94.43000000","94.97000000","13600.25563000"
19052019 2100,"94.98000000","96.00000000","94.55000000","94.63000000","12220.95383000"
19052019 2200,"94.63000000","94.77000000","93.79000000","94.33000000","10598.06295000"
19052019 2300,"94.30000000","95.63000000","94.27000000","95.10000000","8048.52824000"
20052019 0000,"95.11000000","95.96000000","94.05000000","95.77000000","18617.50047000"
20052019 0100,"95.76000000","96.81000000","94.50000000","94.58000000","26303.12896000"
20052019 0200,"94.55000000","94.58000000","89.95000000","91.31000000","66792.32531000"
20052019 0300,"91.34000000","92.30000000","90.51000000","92.21000000","16644.05273000"
20052019 0400,"92.19000000","92.26000000","90.51000000","90.82000000","14951.53370000"
20052019 0500,"90.84000000","92.64000000","90.67000000","92.31000000","15877.07932000"
20052019 0600,"92.25000000","92.90000000","91.81000000","91.95000000","20446.55690000"
20052019 0700,"91.93000000","92.22000000","91.22000000","92.04000000","17031.56023000"
20052019 0800,"92.02000000","92.03000000","90.60000000","90.72000000","19922.46183000"
20052019 0900,"90.72000000","91.70000000","90.31000000","90.89000000","24533.63908000"
20052019 1000,"90.83000000","91.28000000","90.25000000","90.87000000","30014.83600000"
20052019 1100,"90.91000000","91.95000000","90.31000000","91.60000000","14921.89138000"
20052019 1200,"91.57000000","91.97000000","91.11000000","91.38000000","8627.65006000"
20052019 1300,"91.27000000","91.68000000","90.58000000","90.88000000","16425.15986000"
20052019 1400,"90.88000000","91.52000000","88.69000000","89.20000000","24998.99652000"
20052019 1500,"89.20000000","89.50000000","87.11000000","88.97000000","35960.21852000"
20052019 1600,"88.98000000","89.89000000","88.65000000","89.76000000","14697.02904000"
20052019 1700,"89.78000000","90.49000000","89.29000000","90.25000000","12165.21929000"
20052019 1800,"90.26000000","90.53000000","89.22000000","89.64000000","13745.20071000"
20052019 1900,"89.63000000","90.56000000","89.41000000","89.50000000","12013.40344000"
20052019 2000,"89.50000000","89.70000000","88.25000000","88.80000000","10181.13247000"
20052019 2100,"88.80000000","90.84000000","88.80000000","90.67000000","11458.48808000"
20052019 2200,"90.68000000","92.10000000","90.62000000","91.91000000","12821.91643000"
20052019 2300,"91.96000000","92.80000000","90.62000000","91.09000000","16595.69865000"
21052019 0000,"91.07000000","91.98000000","90.16000000","90.41000000","9716.70840000"
21052019 0100,"90.40000000","91.42000000","90.40000000","91.10000000","7192.95820000"
