Time,Open,High,Low,Close,Volume
11032019 0000;"3919.18000000";"3927.63000000";"3913.36000000";"3916.82000000";"667.59270200"
11032019 0100;"3915.99000000";"3930.00000000";"3915.99000000";"3922.83000000";"803.35358900"
11032019 0200;"3921.88000000";"3933.00000000";"3921.71000000";"3926.54000000";"807.07573700"
11032019 0300;"3926.52000000";"3930.96000000";"3918.36000000";"3924.65000000";"735.65113500"
11032019 0400;"3923.55000000";"3936.98000000";"3923.20000000";"3932.73000000";"1969.83377900"
11032019 0500;"3932.73000000";"3934.79000000";"3909.00000000";"3909.00000000";"1449.23801100"
11032019 0600;"3909.39000000";"3912.50000000";"3860.00000000";"3883.02000000";"2857.71691600"
11032019 0700;"3882.38000000";"3898.72000000";"3872.80000000";"3898.68000000";"1912.58180700"
11032019 0800;"3897.39000000";"3901.46000000";"3885.39000000";"3885.50000000";"1439.84451800"
11032019 0900;"3885.49000000";"3893.80000000";"3878.00000000";"3886.74000000";"1175.72137500"
11032019 1000;"3886.72000000";"3898.48000000";"3874.23000000";"3898.29000000";"970.61155400"
11032019 1100;"3897.12000000";"3899.01000000";"3874.61000000";"3878.82000000";"1120.95327900"
11032019 1200;"3878.00000000";"3887.98000000";"3863.14000000";"3873.49000000";"3005.19129200"
11032019 1300;"3873.48000000";"3873.49000000";"3830.00000000";"3848.34000000";"3300.46900400"
11032019 1400;"3849.26000000";"3876.00000000";"3839.84000000";"3871.38000000";"2174.18469100"
11032019 1500;"3871.34000000";"3873.00000000";"3850.77000000";"3861.47000000";"2055.53623600"
11032019 1600;"3861.48000000";"3864.96000000";"3847.00000000";"3848.12000000";"1250.37484400"
11032019 1700;"3848.11000000";"3867.91000000";"3846.80000000";"3859.36000000";"1116.26769600"
11032019 1800;"3859.21000000";"3875.00000000";"3858.82000000";"3868.59000000";"1012.73110700"
11032019 1900;"3868.99000000";"3885.51000000";"3841.24000000";"3869.08000000";"2923.89874200"
11032019 2000;"3869.05000000";"3872.96000000";"3851.00000000";"3855.66000000";"1851.20237000"
11032019 2100;"3855.64000000";"3869.52000000";"3855.64000000";"3863.00000000";"1132.37381800"
11032019 2200;"3862.83000000";"3870.68000000";"3856.00000000";"3870.09000000";"851.42641100"
11032019 2300;"3870.34000000";"3877.31000000";"3864.70000000";"3868.08000000";"866.45612100"
12032019 0000;"3868.08000000";"3876.01000000";"3860.75000000";"3871.61000000";"1284.19167300"
12032019 0100;"3871.61000000";"3876.00000000";"3836.86000000";"3843.74000000";"3126.52102500"
12032019 0200;"3844.38000000";"3852.71000000";"3826.06000000";"3834.69000000";"2464.24072500"
12032019 0900;"3834.69000000";"3885.00000000";"3831.23000000";"3879.66000000";"2763.28903900"
12032019 1000;"3878.73000000";"3892.00000000";"3876.00000000";"3891.67000000";"1647.81319900"
12032019 1100;"3891.67000000";"3905.20000000";"3887.81000000";"3890.79000000";"2022.42837300"
12032019 1200;"3891.44000000";"3900.34000000";"3883.00000000";"3885.18000000";"1530.94592600"
12032019 1300;"3885.09000000";"3899.39000000";"3883.06000000";"3897.11000000";"1267.66302100"
12032019 1400;"3897.09000000";"3902.86000000";"3886.54000000";"3894.71000000";"1644.95599800"
12032019 1500;"3894.73000000";"3895.02000000";"3889.00000000";"3893.72000000";"1437.89888700"
12032019 1600;"3893.48000000";"3894.59000000";"3866.31000000";"3872.59000000";"1424.21660700"
12032019 1700;"3872.59000000";"3891.15000000";"3865.00000000";"3890.00000000";"1948.55471800"
12032019 1800;"3890.94000000";"3893.00000000";"3882.54000000";"3885.01000000";"970.42332900"
12032019 1900;"3885.80000000";"3888.92000000";"3876.36000000";"3880.02000000";"904.41852900"
12032019 2000;"3880.54000000";"3881.99000000";"3871.00000000";"3881.33000000";"911.12939400"
12032019 2100;"3880.75000000";"3890.00000000";"3880.01000000";"3887.00000000";"841.05942100"
12032019 2200;"3887.00000000";"3891.00000000";"3879.56000000";"3883.29000000";"661.33475900"
12032019 2300;"3883.58000000";"3889.44000000";"3881.15000000";"3886.16000000";"569.92424400"
13032019 0000;"3886.63000000";"3887.57000000";"3874.03000000";"3882.73000000";"784.19142800"
13032019 0100;"3882.69000000";"3887.64000000";"3873.92000000";"3883.90000000";"987.23440500"
13032019 0200;"3883.85000000";"3884.89000000";"3871.52000000";"3875.50000000";"915.48269600"
13032019 0300;"3875.50000000";"3881.52000000";"3870.66000000";"3877.37000000";"940.45945900"
13032019 0400;"3877.37000000";"3893.56000000";"3877.00000000";"3887.89000000";"925.68272100"
13032019 0500;"3887.89000000";"3891.70000000";"3877.00000000";"3881.00000000";"970.54038400"
13032019 0600;"3881.00000000";"3886.08000000";"3873.15000000";"3873.96000000";"981.97725300"
13032019 0700;"3873.96000000";"3883.35000000";"3870.00000000";"3875.52000000";"739.57458800"
13032019 0800;"3876.47000000";"3885.07000000";"3872.00000000";"3884.64000000";"783.11779900"
13032019 0900;"3884.32000000";"3885.50000000";"3872.35000000";"3872.36000000";"918.51867200"
13032019 1000;"3873.04000000";"3880.52000000";"3858.75000000";"3864.91000000";"1288.69404600"
13032019 1100;"3865.13000000";"3865.48000000";"3840.00000000";"3850.00000000";"2619.93138900"
13032019 1200;"3850.23000000";"3862.00000000";"3847.98000000";"3856.12000000";"1354.78479600"
13032019 1300;"3856.08000000";"3877.91000000";"3851.00000000";"3877.83000000";"1666.91971100"
13032019 1400;"3877.87000000";"3890.24000000";"3875.79000000";"3880.92000000";"2135.03182000"
13032019 1500;"3880.92000000";"3888.12000000";"3855.71000000";"3865.54000000";"1368.36470900"
