Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,0.356400,0.371100,0.352200,0.370900,0.370900,15909372
2019-01-02,0.370900,0.385700,0.363900,0.379900,0.379900,18846350
2019-01-03,0.379900,0.380500,0.353000,0.360700,0.360700,15111960
2019-01-04,0.360700,0.366200,0.352200,0.362800,0.362800,15262871
2019-01-05,0.362800,0.369700,0.351000,0.356900,0.356900,16653494
2019-01-06,0.356900,0.378400,0.352700,0.372100,0.372100,22133737
2019-01-07,0.372100,0.380700,0.363800,0.367100,0.367100,16831783
2019-01-08,0.367100,0.376300,0.360700,0.369600,0.369600,18117142
2019-01-09,0.369600,0.375900,0.362600,0.372100,0.372100,19845546
2019-01-10,0.372100,0.391800,0.322700,0.332600,0.332600,55206778
2019-01-11,0.332600,0.339500,0.326500,0.331600,0.331600,15399535
2019-01-12,0.331600,0.336300,0.328800,0.332500,0.332500,6881161
2019-01-13,0.332500,0.337200,0.316100,0.318800,0.318800,14016295
2019-01-14,0.318800,0.342800,0.318200,0.336400,0.336400,18193443
2019-01-15,0.336400,0.339100,0.323100,0.327800,0.327800,12647896
2019-01-16,0.327800,0.337600,0.326100,0.330200,0.330200,11345358
2019-01-17,0.330200,0.334200,0.324200,0.331300,0.331300,10386208
2019-01-18,0.331300,0.331800,0.321200,0.324700,0.324700,8600904
2019-01-19,0.324700,0.344200,0.324100,0.333600,0.333600,13765338
2019-01-20,0.333600,0.335500,0.314500,0.320000,0.320000,12364282
2019-01-21,0.320000,0.324600,0.316300,0.320900,0.320900,6608761
2019-01-22,0.320900,0.324900,0.309100,0.321600,0.321600,12197731
2019-01-23,0.321600,0.322900,0.315100,0.316900,0.316900,7757781
2019-01-24,0.316900,0.322600,0.314300,0.319800,0.319800,6607354
2019-01-25,0.319800,0.321700,0.313400,0.317400,0.317400,6432538
2019-01-26,0.317400,0.321600,0.314500,0.315500,0.315500,5934146
2019-01-27,0.315500,0.316200,0.305000,0.308200,0.308200,7350407
2019-01-28,0.308200,0.309300,0.283800,0.295200,0.295200,19512295
2019-01-29,0.295200,0.296700,0.283600,0.289200,0.289200,11426282
2019-01-30,0.289200,0.328300,0.286300,0.323500,0.323500,30613606
2019-01-31,0.323500,0.338100,0.305700,0.312200,0.312200,27944359
2019-02-01,0.312200,0.313900,0.297800,0.308600,0.308600,16312227
2019-02-02,0.308600,0.314500,0.305300,0.311500,0.311500,11377217
2019-02-03,0.311500,0.313500,0.298200,0.302800,0.302800,10552150
2019-02-04,0.302800,0.306100,0.297300,0.298600,0.298600,7607590
2019-02-05,0.298600,0.302700,0.296100,0.299600,0.299600,6333920
2019-02-06,0.299600,0.300700,0.287800,0.289000,0.289000,13162021
2019-02-07,0.289000,0.293600,0.288400,0.290900,0.290900,7244170
2019-02-08,0.290900,0.321600,0.289700,0.312700,0.312700,25144924
2019-02-09,0.312700,0.316300,0.307500,0.312300,0.312300,10476643
2019-02-10,0.312300,0.312500,0.299500,0.309800,0.309800,12808170
2019-02-11,0.309800,0.310600,0.301700,0.302300,0.302300,9251450
2019-02-12,0.302300,0.308500,0.297500,0.305500,0.305500,12591938
2019-02-13,0.305500,0.313700,0.301100,0.305000,0.305000,13253473
2019-02-14,0.305000,0.306400,0.301000,0.301500,0.301500,7992924
2019-02-15,0.301500,0.306700,0.298800,0.302300,0.302300,10123618
2019-02-16,0.302300,0.304900,0.300800,0.301900,0.301900,5843977
2019-02-17,0.301900,0.309200,0.299000,0.304800,0.304800,11461881
2019-02-18,0.304800,0.332300,0.303500,0.323800,0.323800,33971649
2019-02-19,0.323800,0.349800,0.321800,0.325400,0.325400,36152553
2019-02-20,0.325400,0.336900,0.320900,0.333000,0.333000,18350562
2019-02-21,0.333000,0.335000,0.318700,0.322000,0.322000,15858343
2019-02-22,0.322000,0.327000,0.317400,0.324900,0.324900,12366384
2019-02-23,0.324900,0.338100,0.320400,0.336200,0.336200,16715353
2019-02-24,0.336200,0.346800,0.298300,0.300500,0.300500,34161621
2019-02-25,0.300500,0.342800,0.300000,0.330700,0.330700,37868951
2019-02-26,0.330700,0.337500,0.316600,0.319700,0.319700,23007753
2019-02-27,0.319700,0.321700,0.302400,0.313600,0.313600,18865558
2019-02-28,0.313600,0.321000,0.310500,0.316600,0.316600,18564756
2019-03-01,0.316600,0.326300,0.313700,0.317200,0.317200,24609312
2019-03-02,0.317200,0.319200,0.311900,0.316300,0.316300,12613527
2019-03-03,0.316300,0.318000,0.310400,0.312900,0.312900,9191967
2019-03-04,0.312900,0.314300,0.300500,0.304300,0.304300,14475902
2019-03-05,0.304300,0.320000,0.303000,0.317100,0.317100,17198683
2019-03-06,0.317100,0.322900,0.312000,0.318800,0.318800,16683732
2019-03-07,0.318800,0.321100,0.313900,0.314100,0.314100,12526362
2019-03-08,0.314100,0.316700,0.305600,0.309500,0.309500,13574497
2019-03-09,0.309500,0.319600,0.308500,0.315100,0.315100,11342812
2019-03-10,0.315100,0.318800,0.310400,0.314300,0.314300,10038128
