2012.04.06,00:00,1.30650,1.31120,1.30500,1.30950,31979
2012.04.08,00:00,1.31010,1.31029,1.30655,1.30851,2109
2012.04.09,00:00,1.31010,1.31340,1.30330,1.31050,44326
2012.04.10,00:00,1.31050,1.31440,1.30540,1.30810,84296
2012.04.11,00:00,1.30810,1.31570,1.30660,1.31090,71128
2012.04.12,00:00,1.31080,1.32120,1.31020,1.31870,64683
2012.04.13,00:00,1.31870,1.32010,1.30690,1.30770,63599
2012.04.15,00:00,1.30641,1.30745,1.30405,1.30432,2727
2012.04.16,00:00,1.30680,1.31480,1.29940,1.31410,67449
2012.04.17,00:00,1.31410,1.31730,1.30900,1.31260,61649
2012.04.18,00:00,1.31280,1.31410,1.30570,1.31220,70693
2012.04.19,00:00,1.31200,1.31640,1.30690,1.31360,76669
2012.04.20,00:00,1.31370,1.32270,1.31280,1.32180,66480
2012.04.22,00:00,1.31821,1.32078,1.31809,1.32066,2108
2012.04.23,00:00,1.31820,1.32090,1.31040,1.31550,62976
2012.04.24,00:00,1.31550,1.32180,1.31450,1.31960,65093
2012.04.25,00:00,1.31960,1.32360,1.31730,1.32150,65525
2012.04.26,00:00,1.32160,1.32620,1.31980,1.32170,60599
2012.04.27,00:00,1.32170,1.32690,1.31570,1.32510,75774
2012.04.29,00:00,1.32347,1.32467,1.32345,1.32390,1695
2012.04.30,00:00,1.32350,1.32670,1.32080,1.32390,57123
2012.05.01,00:00,1.32380,1.32840,1.32040,1.32370,43952
2012.05.02,00:00,1.32360,1.32400,1.31220,1.31570,62183
2012.05.03,00:00,1.31570,1.31800,1.30950,1.31510,56966
2012.05.04,00:00,1.31510,1.31780,1.30790,1.30820,49876
2012.05.06,00:00,1.30109,1.30313,1.29543,1.29607,5677
2012.05.07,00:00,1.30120,1.30640,1.29540,1.30500,55522
2012.05.08,00:00,1.30500,1.30650,1.29820,1.30040,55645
2012.05.09,00:00,1.30040,1.30070,1.29110,1.29290,61964
2012.05.10,00:00,1.29280,1.29780,1.29230,1.29350,55091
2012.05.11,00:00,1.29380,1.29570,1.29050,1.29160,53156
2012.05.13,00:00,1.29003,1.29024,1.28811,1.28969,3486
2012.05.14,00:00,1.29000,1.29040,1.28210,1.28220,53984
2012.05.15,00:00,1.28210,1.28680,1.27210,1.27280,55361
2012.05.16,00:00,1.27270,1.27580,1.26810,1.27150,65269
2012.05.17,00:00,1.27150,1.27490,1.26670,1.26970,60949
2012.05.18,00:00,1.26970,1.27940,1.26420,1.27780,65407
2012.05.20,00:00,1.27629,1.27829,1.27479,1.27711,3599
2012.05.21,00:00,1.27630,1.28240,1.27250,1.28160,58298
2012.05.22,00:00,1.28160,1.28170,1.26570,1.26820,58204
2012.05.23,00:00,1.26820,1.26870,1.25450,1.25800,70690
2012.05.24,00:00,1.25830,1.26200,1.25150,1.25310,66466
2012.05.25,00:00,1.25310,1.26020,1.24960,1.25150,56951
2012.05.27,00:00,1.25728,1.25786,1.25597,1.25658,3162
2012.05.28,00:00,1.25740,1.26240,1.25250,1.25400,41918
2012.05.29,00:00,1.25380,1.25740,1.24600,1.25020,60148
2012.05.30,00:00,1.25020,1.25040,1.23610,1.23650,65814
2012.05.31,00:00,1.23660,1.24280,1.23360,1.23630,63049
2012.06.01,00:00,1.23630,1.24580,1.22870,1.24330,69139
2012.06.03,00:00,1.24151,1.24419,1.23955,1.23978,3789
2012.06.04,00:00,1.24160,1.25090,1.23850,1.24980,55698
2012.06.05,00:00,1.24960,1.25420,1.24100,1.24510,58524
2012.06.06,00:00,1.24510,1.25840,1.24400,1.25800,66685
2012.06.07,00:00,1.25820,1.26250,1.25400,1.25600,65259
2012.06.08,00:00,1.25590,1.25740,1.24350,1.25150,65244
2012.06.10,00:00,1.26388,1.26677,1.26285,1.26439,5079
2012.06.11,00:00,1.26380,1.26670,1.24800,1.24810,63349
2012.06.12,00:00,1.24810,1.25290,1.24420,1.25030,63112
2012.06.13,00:00,1.25020,1.26090,1.24730,1.25560,63127
2012.06.14,00:00,1.25560,1.26360,1.25420,1.26320,61002
2012.06.15,00:00,1.26320,1.26640,1.25910,1.26360,54576
2012.06.17,00:00,1.26948,1.27468,1.26934,1.27037,5351
2012.06.18,00:00,1.27000,1.27470,1.25570,1.25750,66132
2012.06.19,00:00,1.25750,1.27300,1.25690,1.26850,59888
2012.06.20,00:00,1.26850,1.27430,1.26380,1.27050,60214
2012.06.21,00:00,1.27060,1.27070,1.25310,1.25390,63727
2012.06.22,00:00,1.25370,1.25830,1.25190,1.25690,53982
2012.06.24,00:00,1.25459,1.25574,1.25346,1.25376,1714
2012.06.25,00:00,1.25450,1.25570,1.24700,1.25030,48388
2012.06.26,00:00,1.25030,1.25300,1.24410,1.24900,55186
2012.06.27,00:00,1.24940,1.25080,1.24450,1.24680,49949
2012.06.28,00:00,1.24680,1.25240,1.24070,1.24420,58100
2012.06.29,00:00,1.24430,1.26930,1.24330,1.26660,67855
